City,County,Population 
Livingston,Merced,"14,140"
King City,Monterey,"14,055"
Auburn,Placer,"13,997"
California City,Kern,"13,972"
Grover Beach,San Luis Obispo,"13,628"
Carpinteria,Santa Barbara,"13,622"
Palos Verdes Estates,Los Angeles,"13,544"
Solana Beach,San Diego,"13,444"
San Marino,Los Angeles,"13,327"
Lindsay,Tulare,"13,303"
Grass Valley,Nevada,"12,987"
Commerce,Los Angeles,"12,947"
Malibu,Los Angeles,"12,877"
Half Moon Bay,San Mateo,"12,870"
Tehachapi,Kern,"12,630"
Grand Terrace,San Bernardino,"12,595"
San Anselmo,Marin,"12,580"
Avenal,Kings,"12,440"
Marysville,Yuba,"12,413"
Larkspur,Marin,"12,396"
Fortuna,Humboldt,"12,191"
Clayton,Contra Costa,"12,150"
Kingsburg,Fresno,"12,002"
Scotts Valley,Santa Cruz,"11,945"
Healdsburg,Sonoma,"11,840"
Emeryville,Alameda,"11,758"
Signal Hill,Los Angeles,"11,622"
Los Alamitos,Orange,"11,603"
Hillsborough,San Mateo,"11,486"
Mendota,Fresno,"11,438"
Piedmont,Alameda,"11,378"
Newman,Stanislaus,"11,361"
Canyon Lake,Riverside,"11,223"
Sonoma,Sonoma,"11,108"
Sierra Madre,Los Angeles,"11,038"
Placerville,El Dorado,"10,936"
Farmersville,Tulare,"10,778"
Morro Bay,San Luis Obispo,"10,635"
Exeter,Tulare,"10,553"
Anderson,Shasta,"10,370"
Shasta Lake,Shasta,"10,190"
Capitola,Santa Cruz,"10,180"
Corte Madera,Marin,"9,864"
Orange Cove,Fresno,"9,604"
Taft,Kern,"9,425"
Tiburon,Marin,"9,165"
Rio Vista,Solano,"9,009"
Waterford,Stanislaus,"8,947"
Calimesa,Riverside,"8,817"
Cloverdale,Sonoma,"8,803"
Live Oak,Sutter,"8,774"
Los Altos Hills,Santa Clara,"8,580"
Gonzales,Monterey,"8,479"
Westlake Village,Los Angeles,"8,440"
Firebaugh,Fresno,"8,328"
Pismo Beach,San Luis Obispo,"8,237"
Rolling Hills Estates,Los Angeles,"8,226"
Mammoth Lakes,Mono,"8,132"
Ione,Amador,"7,827"
Sebastopol,Sonoma,"7,666"
Orland,Glenn,"7,656"
Woodlake,Tulare,"7,649"
Yreka,Siskiyou,"7,600"
Fairfax,Marin,"7,598"
Corning,Tehama,"7,592"
Escalon,San Joaquin,"7,588"
Ojai,Ventura,"7,582"
Calipatria,Imperial,"7,558"
Hughson,Stanislaus,"7,498"
Cotati,Sonoma,"7,479"
Guadalupe,Santa Barbara,"7,370"
Fort Bragg,Mendocino,"7,312"
Huron,Fresno,"7,311"
Winters,Yolo,"7,273"
Atherton,San Mateo,"7,238"
Sausalito,Marin,"7,141"
Loomis,Placer,"6,809"
Gridley,Butte,"6,608"
Holtville,Imperial,"6,597"
Fowler,Fresno,"6,495"
Crescent City,Del Norte,"6,399"
St. Helena,Napa,"6,196"
Willows,Glenn,"6,041"
Colusa,Colusa,"5,963"
Solvang,Santa Barbara,"5,909"
Villa Park,Orange,"5,895"
Gustine,Merced,"5,844"
Woodside,San Mateo,"5,564"
Dos Palos,Merced,"5,445"
Indian Wells,Riverside,"5,404"
La Habra Heights,Los Angeles,"5,403"
Williams,Colusa,"5,349"
Calistoga,Napa,"5,273"
Big Bear Lake,San Bernardino,"5,262"
Buellton,Santa Barbara,"5,135"
Needles,San Bernardino,"5,007"
Willits,Mendocino,"4,875"
Sonora,Tuolumne,"4,857"
Lakeport,Lake,"4,762"
Jackson,Amador,"4,740"
Brisbane,San Mateo,"4,721"
Portola Valley,San Mateo,"4,611"
Del Mar,San Diego,"4,363"
San Joaquin,Fresno,"4,043"
Carmel-by-the-Sea,Monterey,"3,897"
Wheatland,Yuba,"3,842"
Angels Camp,Calaveras,"3,807"
Avalon,Los Angeles,"3,764"
Bishop,Inyo,"3,760"
Monte Sereno,Santa Clara,"3,578"
Rio Dell,Humboldt,"3,408"
Mount Shasta,Siskiyou,"3,302"
Nevada City,Nevada,"3,136"
Yountville,Napa,"2,924"
Weed,Siskiyou,"2,716"
Sutter Creek,Amador,"2,575"
Alturas,Modoc,"2,540"
Ross,Marin,"2,480"
Westmorland,Imperial,"2,284"
Belvedere,Marin,"2,126"
Colfax,Placer,"2,005"
San Juan Bautista,San Benito,"1,976"
Portola,Plumas,"1,930"
Hidden Hills,Los Angeles,"1,921"
Rolling Hills,Los Angeles,"1,882"
Biggs,Butte,"1,711"
Del Rey Oaks,Monterey,"1,687"
Dunsmuir,Siskiyou,"1,580"
Colma,San Mateo,"1,514"
Irwindale,Los Angeles,"1,461"
Montague,Siskiyou,"1,406"
Ferndale,Humboldt,"1,373"
Blue Lake,Humboldt,"1,265"
Maricopa,Kern,"1,197"
Bradbury,Los Angeles,"1,093"
Tulelake,Siskiyou,994
Plymouth,Amador,993
Dorris,Siskiyou,907
Isleton,Sacramento,845
Etna,Siskiyou,720
Loyalton,Sierra,706
Fort Jones,Siskiyou,692
Point Arena,Mendocino,453
Tehama,Tehama,422
Sand City,Monterey,387
Trinidad,Humboldt,360
Industry,Los Angeles,204
Amador City,Amador,190
Vernon,Los Angeles,113
